distance,baz
3.504274298154051337e+01,7.054476330926870276e+01
3.396927047073506145e+01,6.942450885149256123e+01
3.329949225251733935e+01,6.974853089061844003e+01
3.376877910318051335e+01,6.978127918393187201e+01
3.669556703588706625e+01,7.165879506897677231e+01
3.607840341690319264e+01,7.040028909633301168e+01
3.574060145216928674e+01,6.857368773669412576e+01
3.443055206030741289e+01,7.077704183294022755e+01
3.497594430934475440e+01,6.809596788823314739e+01
3.650924725620458844e+01,6.910030305414140628e+01
3.440240428561852326e+01,7.095886755632932363e+01
3.652643366663011193e+01,7.172153917320520122e+01
3.508702001953079019e+01,7.101543587454033002e+01
3.460249731714296217e+01,7.086745683316810585e+01
3.409098985411539218e+01,6.935215642685352577e+01
3.477221545347593690e+01,7.168628644405582406e+01
3.594530736666884252e+01,6.901045616647243719e+01
3.527307908402296022e+01,6.923516570286817284e+01
3.639911396118620246e+01,6.827442755862527690e+01
3.431470862820997780e+01,7.050646442687371973e+01
3.661634804398061505e+01,6.895550490926535758e+01
3.312401753642834024e+01,7.147075933366949130e+01
3.678985648969302957e+01,6.851139764116852859e+01
3.535068798875734331e+01,6.932169988724650977e+01
3.468441621376132389e+01,7.067046478006433574e+01
3.320476103490933184e+01,7.115013875556608980e+01
3.451367073473205238e+01,6.961607780968660109e+01
3.588943699403642995e+01,7.082492300761310844e+01
3.690078696127121560e+01,7.054171221271985814e+01
3.373499793729573071e+01,7.030544653989413462e+01
3.579906314259860522e+01,7.170715024566547413e+01
3.302659617324843566e+01,6.900634091090770994e+01
3.629087444055937084e+01,6.824479097981176778e+01
3.637627118871782272e+01,6.845832795242922941e+01
3.311397280104836227e+01,7.037218548721908462e+01
3.307194914792701468e+01,6.934493562589378257e+01
3.590145299367788567e+01,6.863028381808433664e+01
3.374267296522640436e+01,6.915845728033825424e+01
3.520188728846729020e+01,6.964794921113733039e+01
3.397626260101498730e+01,7.008548928760966135e+01
3.427380485132503196e+01,6.959396232263060256e+01
3.531848575098471343e+01,6.837347827380716581e+01
3.321610137478354829e+01,7.005441800217427328e+01
3.365810563407423217e+01,6.906316040063855155e+01
3.570922135680484644e+01,7.020338718734330996e+01
3.608955548574684258e+01,6.978980219843658972e+01
3.454891295362747883e+01,6.940475920527163112e+01
3.592155958729642862e+01,6.966297942689483591e+01
3.407511900558860418e+01,7.122780268947964544e+01
3.696929432299653229e+01,6.809910947857439112e+01
