distance,baz
3.895635311382911681e+01,6.693095987832479921e+01
3.315314936760709941e+01,6.754948751195175305e+01
3.593302820558515265e+01,6.711119431262453361e+01
3.046385991696039497e+01,7.327702376819858898e+01
3.403339842999611164e+01,7.098506522130854535e+01
3.884120553411281662e+01,6.824907033355337660e+01
3.964966025431575503e+01,6.523043269752933782e+01
3.643964697172019385e+01,7.052922819098805007e+01
3.634884659977427646e+01,6.699681067896962361e+01
3.903267266103068778e+01,7.212586810515590230e+01
3.147223230984110032e+01,7.143822253401945943e+01
3.459777731606769180e+01,6.746990397654556659e+01
3.973044240169345898e+01,7.228949962505561189e+01
3.573290281455554407e+01,7.348540989955239411e+01
3.978082992214282143e+01,6.854021744507900848e+01
3.892709092348727040e+01,6.503872782615927406e+01
3.014643404216795730e+01,6.918357807525478620e+01
3.427077941482377099e+01,7.397275639327183683e+01
3.272713418747905223e+01,6.643973374700890133e+01
3.033622137327207113e+01,6.998867829918351902e+01
3.125963190569247274e+01,6.513812589003759967e+01
3.037930468272456963e+01,7.438665893347641145e+01
3.728633347071411919e+01,7.375560075917336178e+01
3.165014531981027091e+01,6.984097209495837433e+01
3.351425694701024582e+01,7.102160869981818792e+01
3.848381463221457466e+01,6.631242144831136898e+01
3.055690502346461201e+01,6.875974019697729034e+01
3.566402936719636330e+01,7.034133161425164360e+01
3.763255518720840342e+01,7.000539782869040550e+01
3.467907127834995862e+01,7.311426603644332545e+01
3.739402403695648047e+01,6.841309412055120731e+01
3.134465913835644812e+01,7.318789242780189852e+01
3.385539670779188981e+01,6.992544556180054371e+01
3.343928790470810242e+01,6.511454592418130005e+01
3.309098662916660061e+01,6.554967178030295827e+01
3.728945969187668652e+01,6.779031040149655496e+01
3.335004946650001756e+01,6.775097113630148726e+01
3.845375991953631001e+01,7.462551936391724894e+01
3.227461185117273601e+01,6.710933418723180921e+01
3.002587312936083919e+01,7.039514390360652385e+01
3.688385225133056622e+01,7.490341598013179691e+01
3.005473562855241099e+01,7.403285841475535278e+01
3.491868133902013938e+01,6.507121796895238219e+01
3.884329416003502899e+01,7.179521650427075485e+01
3.417904531834397375e+01,7.070807673682891448e+01
3.439806290407800304e+01,7.210018988411556506e+01
3.598316946547222983e+01,7.274200401671225791e+01
3.392026345235380091e+01,7.007478341023099233e+01
3.939238504359688875e+01,6.732807154563143115e+01
3.618170391111672046e+01,7.063185193652228122e+01
